signature_id,time_window,primary_stability_class,evidence_grade,primary_cohort_n,primary_patient_n,pooled_delta_z,ci95_lower,ci95_upper,prediction_lower,prediction_upper,I2_percent,sensitivity_class_agreement_n,sensitivity_class_evaluable_n,material_sign_reversal,evidence_note
SIG001,T1,CONSISTENT_DRIFT,COHORT_DEPENDENT,4,172,-0.3785770092566108,-0.4320402122181945,-0.3251138062950271,-0.4508590131286006,-0.3062950053846209,0.0,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG001,T2,HIGH_HETEROGENEITY_OR_PREDICTIVE_UNCERTAINTY,COHORT_DEPENDENT,5,146,-0.8550776766665187,-1.3507663794189413,-0.3593889739140961,-2.1757325775205043,0.4655772241874667,87.39226194985913,3,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG002,T1,RELATIVE_STABILITY,MODERATE_CONSISTENCY,3,141,-0.0708756857062915,-0.1812477498008094,0.0394963783882262,-0.3968164789030944,0.2550651074905112,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG002,T2,CONSISTENT_DRIFT,MODERATE_CONSISTENCY,4,118,-0.6885895701194436,-0.9056198950760734,-0.4715592451628136,-0.982013568680222,-0.3951655715586651,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG003,T1,RELATIVE_STABILITY,MODERATE_CONSISTENCY,3,141,-0.1730886001174061,-0.268709338680083,-0.0774678615547293,-0.4554671134565532,0.1092899132217409,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG003,T2,CONSISTENT_DRIFT,COHORT_DEPENDENT,4,118,-0.8986462115572165,-1.2237089928778342,-0.5735834302365987,-1.3536923718150016,-0.4436000512994315,0.0,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG004,T1,HIGH_HETEROGENEITY_OR_PREDICTIVE_UNCERTAINTY,COHORT_DEPENDENT,3,141,0.0269634308019545,-0.3775559730551874,0.4314828346590966,-1.65567713444897,1.7096039960528793,23.650880253571568,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG004,T2,CONSISTENT_DRIFT,MODERATE_CONSISTENCY,4,118,0.6972451968898257,0.3321178300150832,1.062372563764568,-0.1499010743960421,1.5443914681756934,31.161914648730605,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG022,T1,COHORT_DEPENDENT_DRIFT,COHORT_DEPENDENT,4,172,-0.0568397988316207,-0.3153504950866199,0.2016708974233784,-0.612616109897399,0.4989365122341574,49.54582755141195,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG022,T2,HIGH_HETEROGENEITY_OR_PREDICTIVE_UNCERTAINTY,COHORT_DEPENDENT,5,146,0.1390210567724545,-0.1907176237751375,0.4687597373200466,-0.7200438635112723,0.9980859770561814,82.2218807936682,3,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG023,T1,HIGH_HETEROGENEITY_OR_PREDICTIVE_UNCERTAINTY,COHORT_DEPENDENT,4,172,0.0468090265631662,-0.5234492342888285,0.6170672874151609,-1.5325710495848452,1.6261891027111777,85.57300724556744,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG023,T2,RELATIVE_STABILITY,MODERATE_CONSISTENCY,5,146,-0.0526105270909897,-0.273910702598893,0.1686896484169134,-0.5196200460702431,0.4143989918882635,44.117593692496605,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG033,T1,RELATIVE_STABILITY,COHORT_DEPENDENT,4,172,-0.1622184933545452,-0.3577094777256323,0.0332724910165419,-0.4265214027669044,0.102084416057814,2.6827668560794025,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG033,T2,RELATIVE_STABILITY,COHORT_DEPENDENT,5,146,-0.1197454988812969,-0.3645151890258151,0.1250241912632212,-0.4678262724082038,0.2283352746456099,18.539019733832227,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG034,T1,RELATIVE_STABILITY,MODERATE_CONSISTENCY,4,172,0.0301771452166587,-0.1275457227183009,0.1879000131516183,-0.1830634449321959,0.2434177353655133,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG034,T2,RELATIVE_STABILITY,MODERATE_CONSISTENCY,5,146,-0.0701561181295709,-0.2826444647980563,0.1423322285389144,-0.4506087046200664,0.3102964683609245,18.915976820016656,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
